#{"t_start": 1780149445.3002086, "env_id": "BipedalWalker-v3"}
r,l,t
-93.996785,1600,51.332617
-119.72086,104,54.422517
-117.688474,105,57.720964
-103.755635,91,60.481222
-119.932511,72,62.616497
-105.057304,40,63.816341
-90.137861,1600,112.769284
-111.325866,90,115.483332
-117.791325,55,117.22263
-112.160001,37,118.363139
-103.619803,73,120.615833
-113.946259,53,122.222303
-109.167505,80,124.583398
-105.041481,100,127.651762
-116.283247,90,130.33779
-87.745876,1600,179.014109
-105.293878,78,181.474051
-107.856864,1600,230.828053
-97.040727,1600,280.132039
-152.909426,281,288.830918
-163.507428,596,307.256218
-148.663857,389,319.27077
-131.349774,1600,368.384178
-110.807867,99,371.444102
-107.807516,70,373.577401
-113.305467,71,375.789377
-109.554883,95,378.737203
-122.410387,85,381.384727
-108.371683,1600,430.829442
-122.872812,211,437.299098
-108.35444,73,439.543301
-107.578968,54,441.175557
-135.105373,377,452.75884
-104.225329,112,456.23953
-123.550616,110,459.656989
-123.15433,98,462.699346
-93.389199,1600,510.90512
-87.570508,1600,556.929957
-84.362133,1600,603.17078
-104.100999,55,604.742811
-91.152774,1600,653.080289
-122.799677,177,658.484597
-116.938648,106,661.725592
-141.025776,284,670.463274
-115.338069,67,672.558126
-145.39186,380,684.231691
-118.734568,140,688.549455
-116.672452,214,695.158406
-125.871393,127,699.10585
-146.245738,327,709.088621
-118.986681,101,712.183654
-121.144009,176,717.586378
-140.455011,440,731.165474
-125.196031,1600,780.332637
-122.07269,161,785.303123
-110.158324,1600,834.3736
-108.116476,82,836.898489
-106.122823,74,839.187187
-107.027592,94,842.128424
-101.46305,1600,891.523532
-112.123489,1600,940.665208
-84.04052,1600,989.990804
-126.643297,118,993.623993
-178.657059,1342,1035.055197
-80.596057,1600,1084.375825
-125.411134,77,1086.694312
-127.382544,76,1089.047199
-117.352509,175,1094.493126
-126.041392,134,1098.605592
-109.856224,84,1101.240828
-110.966304,81,1103.660309
-70.769544,1600,1153.047956
-94.003159,1600,1202.631544
-111.680601,121,1206.381256
-89.519385,1600,1255.970532
-98.398638,1600,1305.384524
-92.120492,1600,1354.818657
-201.682892,1162,1390.677346
-146.824828,451,1404.513161
-148.261424,453,1418.501789
-136.3923,271,1426.893559
-158.997647,640,1446.526042
-91.537603,1600,1495.87895
-69.583856,1600,1544.901932
-113.117609,49,1546.400826
-67.27258,1600,1595.813176
-53.344961,1600,1644.749405
-54.555193,1600,1693.943632
-96.779461,166,1699.041209
-111.147478,49,1700.570974
-97.447223,147,1705.093811
-2.14856,1600,1754.486028
-229.91792,1489,1800.413185
-130.78676,1600,1849.27761
-119.971071,1600,1898.505064
-84.898607,1600,1947.595612
-150.715447,1088,1980.928936
-122.022747,820,2006.113558
-63.682018,1600,2055.388542
-123.858076,466,2069.726202
-72.253939,1600,2119.145503
-88.801934,1600,2168.012806
-83.6628,1600,2217.547654
-64.991199,1600,2266.905536
-88.00229,1600,2316.090127
-44.081282,1600,2364.998608
-54.343412,1600,2414.45172
-126.903167,886,2442.015599
-84.261345,1600,2491.705129
-77.841269,1600,2541.70543
-82.533839,1600,2591.497127
-71.865829,1600,2641.340207
-32.331388,1600,2690.16288
-126.195411,81,2692.656699
-122.918212,287,2701.495598
-44.380536,1600,2750.886086
-128.285132,628,2770.513753
-109.903167,395,2782.845043
-118.502785,103,2786.070365
-117.768264,523,2802.196404
-35.280502,1600,2851.694731
-112.41796,54,2853.314706
-112.115591,349,2863.972833
-113.118183,61,2865.82664
-115.597561,279,2874.483501
-115.955997,65,2876.503423
-115.382821,65,2878.511511
-125.430192,295,2887.515745
-58.173151,1600,2936.702525
-67.414893,1600,2986.149444
-41.587997,1600,3035.621658
-94.468724,384,3047.85261
